Portfolio,Agency,Asset Type,Header 1,Header 2,Header 3,Project Name,SA4 Name,Total Estimated Cost,Expenditure to 30-06-24,Budget 2024-25,Post 2024-25,Latitude,Longitude
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Plant and equipment,,,Vessel replacement program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","11,749","2,930","4,769","4,050",,
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,K'gari - Central Station area upgrade,Wide Bay,"11,096","3,946","4,220","2,930",-25.473724,153.055275
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Noosa National Park - Coastal walk upgrades,Sunshine Coast,"1,150",50,"1,100",N/A,-26.37783,153.117413
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Daintree National Park (Cape York Peninsula Aboriginal Land) - Jindalba boardwalk,Cairns,"7,340","1,340","1,550","4,450",-16.2378169,145.4285452
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,K'gari - Dingo (wongari) management program,Wide Bay,"14,650","2,325","7,500","4,825",,
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Girringun National Park - Wallaman Falls visitor facilities upgrade,Townsville,"4,175",380,450,"3,345",-18.597734,145.804333
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Plant and equipment,,,Better Queensland Parks - Fire Management Uplift Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","15,402",,"15,402",,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Better Queensland Parks - Fire Management Uplift Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","2,716",,"2,716",,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Parks and forests - other management facilities,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"7,088",Ongoing,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation","Property, Plant and Equipment",Buildings and Infrastructure,,,Parks and forests - other recreation and visitor facilities,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"6,334",Ongoing,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation",Capital Grant,,,,Waste and Recycling program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"2,925",Ongoing,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation",Capital Grant,,,,SEQ City Deal - Blue Heart Sunshine Coast,Sunshine Coast,"20,000","10,000","10,000",,,
"Environment, Science and Innovation","Department of Environment, Science and Innovation",Capital Grant,,,,SEQ City Deal - Resilient Rivers Initiative,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","20,000","3,000","5,500","11,500",,
"Environment, Science and Innovation","Department of Environment, Science and Innovation",Capital Grant,,,,SEQ City Deal - Resource Recovery Infrastructure,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","70,000",N/A,"33,500","36,500",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,"Other property, plant and equipment","Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"9,480",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Building works and capital replacements,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,500,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Office Accommodation Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"7,778",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Government Employee Housing,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"162,904",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Government Buildings ZEV ready,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","28,100","2,000","15,750","10,350",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Regional Infrastructure Upgrades,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","22,497","3,659","10,180","8,658",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Thomas Dixon Centre refurbishment,Brisbane Inner City,"96,407","91,130","5,277",N/A,-27.486245,153.001801
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Public Works,,,Bundaberg East Levee,Wide Bay,"114,000","2,555","17,108","94,337",-24.85,152.350006
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Brisbane - East,Brisbane - East,N/A,N/A,"9,674",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Brisbane - North,Brisbane - North,N/A,N/A,263,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Brisbane - South,Brisbane - South,N/A,N/A,"1,164",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Brisbane - West,Brisbane - West,N/A,N/A,"9,888",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Brisbane Inner City,Brisbane Inner City,N/A,N/A,"27,508",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Cairns,Cairns,N/A,N/A,"76,889",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Darling Downs - Maranoa,Darling Downs - Maranoa,N/A,N/A,"2,919",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Central Queensland,Central Queensland,N/A,N/A,"13,703",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Gold Coast,Gold Coast,N/A,N/A,"24,952",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Ipswich,Ipswich,N/A,N/A,"12,474",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Logan - Beaudesert,Logan - Beaudesert,N/A,N/A,"19,166",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Mackay,Mackay - Isaac - Whitsunday,N/A,N/A,"15,321",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Moreton Bay - North,Moreton Bay - North,N/A,N/A,"17,249",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Moreton Bay - South,Moreton Bay - South,N/A,N/A,"18,504",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Queensland - Outback,Queensland - Outback,N/A,N/A,"27,839",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Sunshine Coast,Sunshine Coast,N/A,N/A,"8,448",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Toowoomba,Toowoomba,N/A,N/A,"1,902",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Townsville,Townsville,N/A,N/A,"18,397",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Wide Bay,Wide Bay,N/A,N/A,"7,710",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Construct social housing,,Statewide,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,904,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Purchase of existing properties,,Cairns,Cairns,N/A,N/A,"2,500",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Brisbane - East,Brisbane - East,N/A,N/A,"3,772",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Purchase of existing properties,,Statewide,"Brisbane - East,Brisbane Inner City,Brisbane - North,Brisbane - South,Brisbane - West,Cairns,Central Queensland,Darling Downs - Maranoa,Gold Coast,Ipswich,Logan - Beaudesert,Mackay - Isaac - Whitsunday,Moreton Bay - North,Moreton Bay - South,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"30,000",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Brisbane - North,Brisbane - North,N/A,N/A,"4,873",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Purchase of existing properties,,Townsville,Townsville,N/A,N/A,"2,500",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Brisbane - North,Brisbane - North,N/A,N/A,"2,250",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Brisbane - South,Brisbane - South,N/A,N/A,"2,250",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Cairns,Cairns,N/A,N/A,"4,000",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Brisbane - South,Brisbane - South,N/A,N/A,"6,716",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Central Queensland,Central Queensland,N/A,N/A,"1,500",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Gold Coast,Gold Coast,N/A,N/A,"4,500",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Brisbane - West,Brisbane - West,N/A,N/A,"1,879",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Ipswich,Ipswich,N/A,N/A,"1,250",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Mackay,Mackay - Isaac - Whitsunday,N/A,N/A,800,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Moreton Bay - South,Moreton Bay - South,N/A,N/A,750,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Townsville,Townsville,N/A,N/A,"4,000",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Wide Bay,Wide Bay,N/A,N/A,"1,700",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Social housing land acquisition,,Statewide,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"2,500",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Brisbane Inner City,Brisbane Inner City,N/A,N/A,"4,279",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Cairns,Cairns,N/A,N/A,"33,846",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Darling Downs - Maranoa,Darling Downs - Maranoa,N/A,N/A,"1,011",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Central Queensland,Central Queensland,N/A,N/A,"5,888",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Gold Coast,Gold Coast,N/A,N/A,"5,656",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Ipswich,Ipswich,N/A,N/A,"6,557",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,,,Other Plant and Equipment and Intangibles,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"6,300",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Logan - Beaudesert,Logan - Beaudesert,N/A,N/A,"6,816",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Mackay,Mackay - Isaac - Whitsunday,N/A,N/A,"2,836",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Moreton Bay - North,Moreton Bay - North,N/A,N/A,"4,986",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Moreton Bay - South,Moreton Bay - South,N/A,N/A,"1,537",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Queensland - Outback,Queensland - Outback,N/A,N/A,"8,760",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Sunshine Coast,Sunshine Coast,N/A,N/A,"4,078",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Toowoomba,Toowoomba,N/A,N/A,"2,335",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Townsville,Townsville,N/A,N/A,"10,887",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Upgrade existing social housing,,Wide Bay,Wide Bay,N/A,N/A,"4,117",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Purchase of existing properties,,Brisbane Inner City,Brisbane Inner City,N/A,N/A,"1,998",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works","Property, Plant and Equipment",Housing and Homelessness Services,Purchase of existing properties,,Logan - Beaudesert,Logan - Beaudesert,N/A,N/A,"3,257",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,South East Queensland Community Stimulus Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","200,000","78,000","72,000","50,000",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Splash Parks in Mareeba and Douglas Shires,Cairns,"3,000","1,950","1,050",N/A,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Works for Queensland,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","1,098,578","774,088","124,490","200,000",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Local Government Grants and Subsidies Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay",N/A,N/A,"76,297",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Northern Peninsula Area water supply system – replacement of asbestos cement pipelines,Queensland - Outback,"5,010","3,010","2,000",N/A,-10.887923,142.388334
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Indigenous Councils Critical Infrastructure Program,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","117,534","107,534","10,000",N/A,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,COVID-19 Works for Queensland,"Brisbane - East,Brisbane - North,Brisbane - South,Brisbane - West,Brisbane Inner City,Ipswich,Logan - Beaudesert,Moreton Bay - North,Moreton Bay - South,Cairns,Darling Downs - Maranoa,Central Queensland,Gold Coast,Mackay - Isaac - Whitsunday,Queensland - Outback,Sunshine Coast,Toowoomba,Townsville,Wide Bay","199,900","198,283","1,617",N/A,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Hinchinbrook Harbour new sewage plant,Cairns,"6,433","3,857","2,576",N/A,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Public Works,,,Resilient Homes Fund,"Brisbane Inner City,Wide Bay,Gold Coast,Sunshine Coast,Ipswich,Brisbane - East,Toowoomba,Central Queensland,Moreton Bay - South,Logan - Beaudesert,Darling Downs - Maranoa,Brisbane - South,Brisbane - North,Brisbane - West,Moreton Bay - North","172,764","40,535","63,431","68,798",,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Kuranda infrastructure levy,Cairns,N/A,N/A,744,Ongoing,-16.818372,145.638712
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Torres Strait Ferry Funding Program,Queensland - Outback,500,N/A,500,,-10.585483,142.219528
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Kenrick Park Masterplan (Stage 1),Cairns,"3,000","1,900","1,100",N/A,-17.08596,145.767106
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Local Government and Planning,,,Trinity Beach Community Activity Space,Cairns,935,841,94,N/A,-16.78941,145.69423
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Housing and Homelessness Services,,,Brisbane - East,Brisbane - East,N/A,N/A,"7,516",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Housing and Homelessness Services,,,Cairns,Cairns,N/A,N/A,"73,917",Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Housing and Homelessness Services,,,Darling Downs - Maranoa,Darling Downs - Maranoa,N/A,N/A,370,Ongoing,,
"Housing, Local Government, Planning and Public Works","Department of Housing, Local Government, Planning and Public Works",Capital Grant,Housing and Homelessness Services,,,Central Queensland,Central Queensland,N/A,N/A,"3,058",Ongoing,,
